date,pnl
2013-01-02,1000000.0
2013-01-03,1000000.0
2013-01-04,1000000.0
2013-01-07,1000000.0
2013-01-08,1000000.0
2013-01-09,1000000.0
2013-01-10,1000000.0
2013-01-11,1000000.0
2013-01-14,1000000.0
2013-01-15,1000000.0
2013-01-16,1000000.0
2013-01-17,1000000.0
2013-01-18,1000000.0
2013-01-22,1000000.0
2013-01-23,1000000.0
2013-01-24,1000000.0
2013-01-25,1000000.0
2013-01-28,1000000.0
2013-01-29,1000000.0
2013-01-30,1000000.0
2013-01-31,1000000.0
2013-02-01,1000000.0
2013-02-04,1000000.0
2013-02-05,1000000.0
2013-02-06,1000000.0
2013-02-07,1000000.0
2013-02-08,1000000.0
2013-02-11,1000000.0
2013-02-12,1000000.0
2013-02-13,1000385.0
2013-02-14,1001145.0
2013-02-15,1001145.0
2013-02-19,1002115.0
2013-02-20,1002115.0
2013-02-21,1002115.0
2013-02-22,1001675.0
2013-02-25,1001675.0
2013-02-26,1001675.0
2013-02-27,1002900.0
2013-02-28,1002900.0
2013-03-01,1001720.0
2013-03-04,1001720.0
2013-03-05,1002475.0
2013-03-06,1002475.0
2013-03-07,1002475.0
2013-03-08,1002475.0
2013-03-11,1002475.0
2013-03-12,1002475.0
2013-03-13,1002475.0
2013-03-14,1002475.0
2013-03-15,1002475.0
2013-03-18,1002475.0
2013-03-19,1002475.0
2013-03-20,1002475.0
2013-03-21,1004065.0
2013-03-22,1004065.0
2013-03-25,1004065.0
2013-03-26,1004065.0
2013-03-27,1004065.0
2013-03-28,1004065.0
2013-04-01,1004065.0
2013-04-02,1004065.0
2013-04-03,1005395.0
2013-04-04,1005395.0
2013-04-05,1005395.0
2013-04-08,1005395.0
2013-04-09,1006575.0
2013-04-10,1006575.0
2013-04-11,1006575.0
2013-04-12,1010275.0
2013-04-15,1010275.0
2013-04-16,1010275.0
2013-04-17,1010275.0
2013-04-18,1010275.0
2013-04-19,1010275.0
2013-04-22,1007436.0
2013-04-23,1007436.0
2013-04-24,1007436.0
2013-04-25,1007436.0
2013-04-26,1007436.0
2013-04-29,1007436.0
2013-04-30,1007436.0
2013-05-01,1007436.0
2013-05-02,1007436.0
2013-05-03,1007436.0
2013-05-06,1007436.0
2013-05-07,1007436.0
2013-05-08,1007436.0
2013-05-09,1007436.0
2013-05-10,1007436.0
2013-05-13,1007436.0
2013-05-14,1007436.0
2013-05-15,1007436.0
2013-05-16,1007436.0
2013-05-17,1007436.0
2013-05-20,1007436.0
2013-05-21,1007436.0
2013-05-22,1007436.0
2013-05-23,1007436.0
2013-05-24,1007436.0
2013-05-28,1011526.0
2013-05-29,1011526.0
2013-05-30,1011526.0
2013-05-31,1011526.0
2013-06-03,1011526.0
2013-06-04,1011526.0
2013-06-05,1011526.0
2013-06-06,1011526.0
2013-06-07,1011526.0
2013-06-10,1011526.0
2013-06-11,1014096.0
2013-06-12,1014096.0
2013-06-13,1021006.0
2013-06-14,1017679.0
2013-06-17,1022699.0
2013-06-18,1022699.0
2013-06-19,1024354.0
2013-06-20,1024354.0
2013-06-21,1024354.0
2013-06-24,1017173.0
2013-06-25,1017173.0
2013-06-26,1017173.0
2013-06-27,1017173.0
2013-06-28,1011929.0
2013-07-01,1011929.0
2013-07-02,1011929.0
2013-07-03,1011929.0
2013-07-05,1010807.0
2013-07-08,1010807.0
2013-07-09,1010807.0
2013-07-10,1010807.0
2013-07-11,1010807.0
2013-07-12,1010807.0
2013-07-15,1010807.0
2013-07-16,1010807.0
2013-07-17,1010807.0
2013-07-18,1010807.0
2013-07-19,1010807.0
2013-07-22,1010807.0
2013-07-23,1010807.0
2013-07-24,1010807.0
2013-07-25,1010807.0
2013-07-26,1010807.0
2013-07-29,1011842.0
2013-07-30,1011842.0
2013-07-31,1011842.0
2013-08-01,1011842.0
2013-08-02,1011842.0
2013-08-05,1011842.0
2013-08-06,1011842.0
2013-08-07,1011842.0
2013-08-08,1011842.0
2013-08-09,1011842.0
2013-08-12,1011842.0
2013-08-13,1011842.0
2013-08-14,1012317.0
2013-08-15,1012317.0
2013-08-16,1012317.0
2013-08-19,1009949.0
2013-08-20,1009949.0
2013-08-21,1009949.0
2013-08-22,1009949.0
2013-08-23,1010954.0
2013-08-26,1010954.0
2013-08-27,1010954.0
2013-08-28,1010954.0
2013-08-29,1010954.0
2013-08-30,1007751.0
2013-09-03,1007751.0
2013-09-04,1007751.0
2013-09-05,1007751.0
2013-09-06,1007751.0
2013-09-09,1007751.0
2013-09-10,1012891.0
2013-09-11,1013561.0
2013-09-12,1015501.0
2013-09-13,1015300.0
2013-09-16,1015300.0
2013-09-17,1016970.0
2013-09-18,1016970.0
2013-09-19,1016970.0
2013-09-20,1016970.0
2013-09-23,1016970.0
2013-09-24,1016970.0
2013-09-25,1016970.0
2013-09-26,1024815.0
2013-09-27,1024815.0
2013-09-30,1022125.0
2013-10-01,1022125.0
2013-10-02,1022125.0
2013-10-03,1022125.0
2013-10-04,1021175.0
2013-10-07,1021175.0
2013-10-08,1021175.0
2013-10-09,1021175.0
2013-10-10,1021175.0
2013-10-11,1021175.0
2013-10-14,1025970.0
2013-10-15,1025970.0
2013-10-16,1025970.0
2013-10-17,1025970.0
2013-10-18,1025970.0
2013-10-21,1025970.0
2013-10-22,1025970.0
2013-10-23,1025970.0
2013-10-24,1025970.0
2013-10-25,1025970.0
2013-10-28,1025970.0
2013-10-29,1025970.0
2013-10-30,1025970.0
2013-10-31,1025970.0
2013-11-01,1025970.0
2013-11-04,1025970.0
2013-11-05,1025970.0
2013-11-06,1025970.0
2013-11-07,1025970.0
2013-11-08,1025970.0
2013-11-11,1025970.0
2013-11-12,1025970.0
2013-11-13,1025970.0
2013-11-14,1025970.0
2013-11-15,1025970.0
2013-11-18,1025970.0
2013-11-19,1025970.0
2013-11-20,1025970.0
2013-11-21,1025970.0
2013-11-22,1025970.0
2013-11-25,1025970.0
2013-11-26,1025970.0
2013-11-27,1025970.0
2013-11-29,1027480.0
2013-12-02,1027480.0
2013-12-03,1027480.0
2013-12-04,1027480.0
2013-12-05,1027480.0
2013-12-06,1035210.0
2013-12-09,1041770.0
2013-12-10,1041770.0
2013-12-11,1041770.0
2013-12-12,1041770.0
2013-12-13,1035334.0
2013-12-16,1035334.0
2013-12-17,1035334.0
2013-12-18,1035334.0
2013-12-19,1035334.0
2013-12-20,1037544.0
2013-12-23,1037504.0
2013-12-24,1037504.0
2013-12-26,1037504.0
2013-12-27,1037504.0
2013-12-30,1042564.0
2013-12-31,1044524.0
2014-01-02,1044524.0
2014-01-03,1046404.0
